都道府県,西暦,人口,,,,
全国,2005,"127,768,000",,,,
北海道,2005,"5,628,000",,,,
青森県,2005,"1,437,000",,,,
岩手県,2005,"1,385,000",,,,
宮城県,2005,"2,360,000",,,,
秋田県,2005,"1,146,000",,,,
山形県,2005,"1,216,000",,,,
福島県,2005,"2,091,000",,,,
茨城県,2005,"2,975,000",,,,
栃木県,2005,"2,017,000",,,,
群馬県,2005,"2,024,000",,,,
埼玉県,2005,"7,054,000",,,,
千葉県,2005,"6,056,000",,,,
東京都,2005,"12,577,000",,,,
神奈川県,2005,"8,792,000",,,,
新潟県,2005,"2,431,000",,,,
富山県,2005,"1,112,000",,,,
石川県,2005,"1,174,000",,,,
福井県,2005,"822,000",,,,
山梨県,2005,"885,000",,,,
長野県,2005,"2,196,000",,,,
岐阜県,2005,"2,107,000",,,,
静岡県,2005,"3,792,000",,,,
愛知県,2005,"7,255,000",,,,
三重県,2005,"1,867,000",,,,
滋賀県,2005,"1,380,000",,,,
京都府,2005,"2,648,000",,,,
大阪府,2005,"8,817,000",,,,
兵庫県,2005,"5,591,000",,,,
奈良県,2005,"1,421,000",,,,
和歌山県,2005,"1,036,000",,,,
鳥取県,2005,"607,000",,,,
島根県,2005,"742,000",,,,
岡山県,2005,"1,957,000",,,,
広島県,2005,"2,877,000",,,,
山口県,2005,"1,493,000",,,,
徳島県,2005,"810,000",,,,
香川県,2005,"1,012,000",,,,
愛媛県,2005,"1,468,000",,,,
高知県,2005,"796,000",,,,
福岡県,2005,"5,050,000",,,,
佐賀県,2005,"866,000",,,,
長崎県,2005,"1,479,000",,,,
熊本県,2005,"1,842,000",,,,
大分県,2005,"1,210,000",,,,
宮崎県,2005,"1,153,000",,,,
鹿児島県,2005,"1,753,000",,,,
沖縄県,2005,"1,362,000",,,,
全国,2010,"128,057,000",,,,
北海道,2010,"5,506,000",,,,
青森県,2010,"1,373,000",,,,
岩手県,2010,"1,330,000",,,,
宮城県,2010,"2,348,000",,,,
秋田県,2010,"1,086,000",,,,
山形県,2010,"1,169,000",,,,
福島県,2010,"2,029,000",,,,
茨城県,2010,"2,970,000",,,,
栃木県,2010,"2,008,000",,,,
群馬県,2010,"2,008,000",,,,
埼玉県,2010,"7,195,000",,,,
千葉県,2010,"6,216,000",,,,
東京都,2010,"13,159,000",,,,
神奈川県,2010,"9,048,000",,,,
新潟県,2010,"2,374,000",,,,
富山県,2010,"1,093,000",,,,
石川県,2010,"1,170,000",,,,
福井県,2010,"806,000",,,,
山梨県,2010,"863,000",,,,
長野県,2010,"2,152,000",,,,
岐阜県,2010,"2,081,000",,,,
静岡県,2010,"3,765,000",,,,
愛知県,2010,"7,411,000",,,,
三重県,2010,"1,855,000",,,,
滋賀県,2010,"1,411,000",,,,
京都府,2010,"2,636,000",,,,
大阪府,2010,"8,865,000",,,,
兵庫県,2010,"5,588,000",,,,
奈良県,2010,"1,401,000",,,,
和歌山県,2010,"1,002,000",,,,
鳥取県,2010,"589,000",,,,
島根県,2010,"717,000",,,,
岡山県,2010,"1,945,000",,,,
広島県,2010,"2,861,000",,,,
山口県,2010,"1,451,000",,,,
